;ID;question;mexico_2008;mexico_2010;mexico_2012;mexico_2014;ecuador_2010;ecuador_2012;ecuador_2014;uruguay_2014;colombia_2010;colombia_2012;colombia_2014;chile_2008;chile_2014;argentina_2014;peru_2014;peru_2010;brasil_2014;brasil_2010;
Q_109;109;¿dígame, cuál es el aspecto más importante de esta relación con Estados Unidos? Segundo lugar;NA;NA;NA;NA;ec_13_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_110;110;¿En dónde utiliza Internet: en su casa o fuera de su casa?;ps18_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ps18_1;
Q_111;111;¿En qué país del mundo hay más empresas chilenas?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C31;NA;NA;NA;NA;NA;
Q_112;112;¿En qué país nació?;NA;NA;q18a;NA;NA;q18a;NA;NA;NA;q18a;NA;NA;NA;NA;NA;NA;NA;NA;
Q_113;113;¿En qué país vivió? (1st);NA;NA;q4_1a;P221A, P221A_RECOD;NA;q4_1a;P2_2_1_1;NA;NA;q4_1a;v_2_2_1_1;NA;NA;p2_2_1;P2_2_1_A;NA;NA;NA;
Q_114;114;¿En qué país vivió? (2nd);NA;NA;q4_1b;P221B;NA;q4_1b;P2_2_1_2;NA;NA;q4_1b;v_2_2_1_2;NA;NA;p2_2_2;P2_2_1_B;NA;NA;NA;
Q_115;115;¿En qué país vivió? (3rd);NA;NA;q4_1c;P221C;NA;q4_1c;P2_2_1_3;NA;NA;q4_1c;v_2_2_1_3;NA;NA;p2_2_3;P2_2_1_C;NA;NA;NA;
Q_116;116;¿En qué país?: Padre [nacio fuera];NA;NA;qS13_1b;NA;NA;qS13_1b;NA;NA;NA;qS13_1b;NA;NA;NA;NA;NA;NA;NA;NA;
Q_117;117;¿en qué tipo de institución, organismo o empresa trabaja usted?;ps11;pS12;NA;NA;s12;qs16;NA;NA;S12;NA;NA;s11;NA;NA;NA;S12;NA;ps11;
Q_118;118;¿En su opinión Chile es un país comercialmente abierto al mundo?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C20;NA;NA;NA;NA;NA;
Q_119;119;¿en su opinión, la relación de estados unidos con [PAIS] es [importancia];NA;NA;NA;P882;ec_12;q65;NA;NA;NA;q65;NA;NA;NA;NA;NA;NA;NA;NA;
Q_120;120;¿Esa persona era alguien del mismo hogar, algún vecino o alguien ajeno que estab;NA;NA;NA;PX3;NA;NA;X3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_121;121;¿está a favor o en contra de que [PAÍS] reciba ayuda financiera de Estados Unidos para combatir el narcotrafico;p9_904_7a;p56_1;q63_1;NA;p56_1;NA;NA;NA;p56_1;q63_1;COL4;NA;NA;NA;NA;p56_1;NA;NA;
Q_122;122;¿Está o no de acuerdo en que el [PAIS] firme un Tratado de Libre Comercio con Estados Unidos;NA;NA;NA;NA;NA;NA;EC30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_123;123;¿Está usted de acuerdo o en desacuerdo con que un [NACIONAL PAÍS] acusado de un crimen contra la humanidad sea juzgado por un tribunal internacional;p7_708_10A, p7_708_10B;p40;q47, q47b;P710A;p40;q47;P7_10_A,P7_10_B;NA;p40;q47;v_7_10_a;p26;P7_10_A;p7_10a, p7_10b;P7_10_A, P7_10_B;p40;Q_70;p26;
Q_124;124;¿Está usted de acuerdo o en desacuerdo con que un político o un funcionario del gobierno PERUANO acusado de un crimen contra la humanidad, como la tortura, sea juzgado por un tribunal internacional?;NA;NA;NA;P710B;NA;NA;NA;NA;NA;NA;v_7_10_b;NA;P7_10_B;NA;NA;NA;NA;NA;
Q_125;125;¿estaría dispuesto a irse a vivir a otro país sin documentos?;NA;p5;q8;P251;p5;q8;P2_5_1;NA;p5;q8;v_2_5_1;NA;NA;NA;NA;p5;NA;NA;
Q_126;126;¿Ha conocido a alguien que trabaje en una organización de derechos humanos?;NA;NA;q80;NA;NA;q80;NA;NA;NA;q80;NA;NA;NA;NA;NA;NA;NA;NA;
Q_127;127;¿Ha escuchado hablar del caso Assange?;NA;NA;NA;NA;NA;EC7;EC7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_128;128;¿habla usted algún idioma extranjero? ;ps8_1;pS8_1;qS11;PS10;s8_1;qS11;S10;NA;S8_1;qS11;S10_1;s8;NA;ps10;S10_IE;S8_1;Q_131;ps8;
Q_129;129;¿habla usted alguna lengua indígena? [si/no];ps8_1, ps8_2, ps8_2b;pS8_1, pS8_2, pS8_2_1;qS11, qs10, qs10_1, codqs10_1;PS10, PS9;s82, s8_2_1, s8_1;qs10, qs10_1;S9, S10;NA;NAS8_1;qs10, qs10_1, qS11;S9, S10_1;s8_2a, s8_2aa, s8;NA;ps9, ps10;S9_LI, S10_IE;S82, S8_2_1, S8_2_1rc1, S8_2_1rc2, S8_1;Q_132, Q_133, Q_131;ps8_2, ps8_2a, ps8;
Q_130;130;¿hasta qué año escolar estudió usted (grado máximo);ps3;pS3;qS3;PS3;s3;qs3;S3;S3, S3_ninguno, S3_primaria, S3_secundaria, S3_bachillerato, S3_universidad, S3_postgrado;S3;qS3;S3;s3;NA;ps3;S3_NSNR;S3, cs3;Q_26;ps3;
Q_131;131;¿Hubo otra persona presente durante la entrevista?;NA;NA;NA;PX2;NA;NA;X2;NA;NA;NA;x2;NA;NA;NA;NA;NA;NA;NA;
Q_132;132;¿independientemente del partido por el cual usted ha votado, normalmente se considera miembro o simpatizante de…;ps4;pS4;qS6, qs6a;PS5, PS5A;ec_37;qS6, qs6a;NA;S5;S4;qS6, qs6a;S5, S5_a;s4;S7, S7_TXT;ps5ps5otro;S5_PP_R, S5_PP_OTRO;S4, cs4;Q_127;ps4;
Q_133;133;¿Me podría decir cuál es su religión?;NA;NA;qS4;PS4, PS4A;NA;qS4;S4;S4;NA;qS4;S4;NA;NA;ps4;S4_RELIGION;NA;Q_205;NA;
Q_134;134;¿Me podría decir en qué [ESTADO, PROVINCIA O REGIÓN] nació usted?;NA;NA;q18;P41, P41_RECOD;NA;q18;P4_1;NA;NA;q18;V_4_1;NA;NA;p4_1;P4_1, P4_1_NSNC;NA;NA;NA;
Q_135;135;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Asociaciones de derechos humanos;NA;NA;q77_3;P1123;NA;q77_3;NA;NA;NA;q77_3;v_11_2_3;NA;P11_2_3;NA;NA;NA;NA;NA;
Q_136;136;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Asociaciones de ecologistas;NA;NA;q77_5;NA;NA;q77_5;NA;NA;NA;q77_5;NA;NA;NA;NA;NA;NA;NA;NA;
Q_137;137;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Asociaciones de padres de familia;NA;NA;q77_6;P1125;NA;q77_6;NA;NA;NA;q77_6;v_11_2_5;NA;P11_2_5;NA;NA;NA;NA;NA;
Q_138;138;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Asociaciones religiosas;NA;NA;q77_4;P1124;NA;q77_4;NA;NA;NA;q77_4;v_11_2_4;NA;P11_2_4;NA;NA;NA;NA;NA;
Q_139;139;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Otra;NA;NA;q77_7, q77_7a;P1126, P1126A;NA;q77_7, q77_7a;NA;NA;NA;q77_7, q77_7a;v_11_2_6, v_11_2_6_a;NA;P11_2_7;NA;NA;NA;NA;NA;
Q_140;140;¿Me podría decir si usted ha participado en las actividades de alguna de las siguientes organizaciones? Sindicatos;NA;NA;q77_2;P1122;NA;q77_2;NA;NA;NA;q77_2;v_11_2_2;NA;P11_2_2;NA;NA;NA;NA;NA;
Q_141;141;¿Me podría decir si usted ha participado en las actividades dealgunade las siguientes organizaciones? Organizaciones desportivas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P11_2_6;NA;NA;NA;NA;NA;
Q_142;142;¿Me podría decir si usted ha participado en las actividades dealgunade las siguientes organizaciones? Partidos Políticos;NA;NA;q77_1;P1121;NA;NA;NA;NA;NA;q77_1;v_11_2_1;NA;P11_2_1;NA;NA;NA;NA;NA;
Q_143;143;¿Por favor, me puede decir el nombre de La capital de China?;NA;NA;NA;P524;NA;NA;P5_2_4;NA;NA;NA;v_5_2_4;NA;P5_2_4;p5_2_4;P5_2_1_D;NA;NA;NA;
Q_144;144;¿por favor, me puede decir el nombre de…? El país que preside el G20;NA;NA;q30_5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_145;145;¿por favor, me puede decir el nombre de…? el presidente de los estados unidos de américa;p5_502b_2c;p25_3;q30_3;P523;p25_3;q30_3;P5_2_3;P3_1_A;p25_3;q30_3;v_5_2_3;NA;P5_2_3;p5_2_3;P5_2_1_C;p25_3;NA;NA;
Q_146;146;¿por favor, me puede decir el nombre de…? el secretario (o ministro de relaciones exteriores de [PAÍS] );p5_502a_2d;p25_4;q30_4;P525;p25_4;q30_4;P5_2_5;NA;p25_4;q30_4;v_5_2_5;NA;P5_2_5;p5_2_5;P5_2_1_E;p25_4;NA;NA;
Q_147;147;¿por favor, me puede decir el nombre de…? la moneda común de la unión europea;p5_503_2b;p25_2;q30_2;P522;p25_2;q30_2;P5_2_2;NA;p25_2;q30_2;v_5_2_2;NA;P5_2_2;p5_2_2;P5_2_1_B;p25_2;NA;NA;
Q_148;148;¿por favor, me puede decir el nombre de…?: [la autoridad local de su estado];p5_502a_2a;p25_1;q30_1;P521;p25_1;q30_1;P5_2_1;NA;p25_1;q30_1;v_5_2_1;NA;P5_2_1;p5_2_1;P5_2_1_A;p25_1;NA;NA;
Q_149;149;¿Por quién votará en la elección presidencial?;NA;NA;NA;NA;NA;EC33;NA;NA;NA;NA;NA;NA;NA;ps6;NA;NA;NA;NA;
Q_150;150;¿por quién votó en la elección presidencial pasada?;ps5;pS5;qS7_1;NA;ec_38;NA;NA;S6;S5;qS7_1;NA;s5;S8_1;NA;S6_ELECCIONES;S5;Q_128;ps5;
Q_151;151;¿qué cree usted que deba hacer el gobierno de [PAIS] frente al conflicto colombiano?;NA;NA;NA;NA;ec_20;EC19;EC19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_152;152;¿qué lo hace más nacionalista?;NA;NA;NA;NA;ec_2_1;EC5_1;EC5_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_153;153;¿qué lo hace más nacionalista?. segundo lugar?;NA;NA;NA;NA;ec_2_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_154;154;¿Qué país sería el mejor modelo de desarrollo para [PAÍS]?;NA;NA;q72, q72a;NA;NA;q72, q72a;NA;NA;NA;q72, q72a;NA;NA;NA;NA;NA;NA;NA;NA;
Q_155;155;¿qué se siente usted más? [pais vs region];p4_401_1;p14;q19, q19b;P42A, P42B;p14;q19a,q19b;EC3,P4_2_A,P4_2_B;NA;p14;q19;V_4_2_a, v_4_2_b;NA;NA;p4_2a, p4_2b;P4_2_A, P4_2_B;p14;NA;NA;
Q_156;156;¿Qué sentimiento le genera la posibilidad de que el [PAIS] salga de la dolariza;NA;NA;NA;NA;NA;NA;EC35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_157;157;¿qué significa para usted ser nacionalista?;NA;NA;NA;NA;ec_3_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_158;158;¿qué significa para usted ser nacionalista?. segundo lugar;NA;NA;NA;NA;ec_3_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_159;159;¿Qué tán beneficioso ha sido para Chile el ingreso a la OCDE (La Organización para la Cooperación y Desarrollo Económico)?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C28;NA;NA;NA;NA;NA;
Q_160;160;¿Qué tan beneficioso ha sido para Chile ser un país abierto comercialmente?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C21;NA;NA;NA;NA;NA;
Q_161;161;¿Qué tan de acuerdo estaría con que México y Estados Unidos formaran un solo país?;p4_404_7B_1, pMx1B_1;NA;NA;PMx1B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_162;162;¿Qué tan de acuerdo estaría con que México y los países centroamericanos formaran un solo país?;p23b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_163;163;¿Que tan de acuerdo estaría que en el [PAIS] existan sanciones como: Cadena perpetua;NA;NA;NA;NA;NA;NA;EC12_B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_164;164;¿Que tan de acuerdo estaría que en el [PAIS] existan sanciones como: Pena de muerte;NA;NA;NA;NA;NA;NA;EC12_A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_165;165;¿Qué tan de acuerdo o en desacuerdo está con cada una de las siguientes afirmaciones… El gobierno debe ser el principal responsable del bienestar de la gente;NA;NA;NA;P1113;NA;NA;P11_1_3;NA;NA;NA;v_11_1_3;NA;P11_1_3;p11_1_3;P11_1_1_C;NA;NA;NA;
Q_166;166;¿Qué tan de acuerdo o en desacuerdo está con cada una de las siguientes afirmaciones… Los individuos deben ser responsables de su propio bienestar y no el Estad;NA;NA;q76_3, q76b_3;NA;NA;q76_3;NA;NA;NA;q76_3;NA;NA;NA;NA;NA;NA;NA;NA;
Q_167;167;¿Qué tan de acuerdo o en desacuerdo está con cada una de las siguientes afirmaciones… Los organismos internacionales siguen los dictados de los países desarroll;NA;NA;q76_4, q76b_4;NA;NA;q76_4;NA;NA;NA;q76_4;NA;NA;NA;NA;NA;NA;NA;NA;
Q_168;168;¿Qué tan de acuerdo o en desacuerdo está con que México envíe efectivos militares a otros países para ayudar en caso de desastres naturales?;NA;NA;mx13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_169;169;¿qué tan de acuerdo o en desacuerdo está con…?: la gente tiene derecho a desobedecer las leyes si le parecen injustas;NA;p65_2;q76_2, q76b_2;P1112;p65_2;q76_2;P11_1_2;NA;p65_2;q76_2;v_11_1_2;NA;P11_1_2;p11_1_2;P11_1_1_B;P65_2;NA;NA;
Q_170;170;¿qué tan de acuerdo o en desacuerdo está con…?: puede que la democracia tenga problemas, pero es mejor que cualquier outra forma de gobierno;NA;p65_1;q76_1, q76b_1;P1111;p65_1;q76_1;P11_1_1;NA;p65_1;q76_1;v_11_1_1;NA;P11_1_1;p11_1_1;P11_1_1_A;p65_1;NA;NA;
Q_171;171;¿Qué tan de acuerdo o en desacuerdo está usted con la siguiente afirmación? BRASIL, como el pais mas grande de SUDAMERICA tiene la responsabilidad de invertir recursos para el desarrollo de la region;NA;NA;NA;NA;NA;NA;M_A_Br;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_198, Q_199 [NÃO TEM A RESPONSABILIDADE, INVERTER RESPOSTAS];NA;
Q_172;172;¿Qué tan de acuerdo o en desacuerdo está usted con la siguiente afirmación? MÉXICO como el pais mas grande de CENTRO AMERICA Y el CARIBE tiene la responsabilidad de invertir recursos en la region;NA;NA;NA;PMx4A_Br, Mx4B_Br1;NA;NA;M_A_Mx;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_173;173;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm construir caminos y puentes que conecten a la región;NA;p51_5a, p51_5b;q59_5, q59b_5;P8116A;p51_5a,p51_5b;q59_5;P8_11_6;P8_11_6_A;p51_5A;q59_5;v_8_11_6_a;NA;P8_11_6_A;p8_11_6a;P8_11_1_A_F_R, P8_11_1_B_F;p51_5A;NA;NA;
Q_174;174;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm crear un parlamento o congreso latinoamericano que proponga leyes comunes;NA;p51_6a, p51_6b;q59_6, q59b_6;P8117A;p51_6a,p51_6b;q59_6;P8_11_7;P8_11_7_A;p51_6A;q59_6;v_8_11_7_a;NA;P8_11_7_A;p8_11_7a;P8_11_1_A_G_R, P8_11_1_B_G;p51_6A;NA;NA;
Q_175;175;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm crear una moneda común latinoamericana;NA;p51_4a, p51_4b;q59_4, q59b_4;P8115A;p51_4a,p51_4b;q59_4;P8_11_5;P8_11_5_A;p51_4A;q59_4;v_8_11_5_a;NA;P8_11_5_A;p8_11_5a;P8_11_1_A_E_R, P8_11_1_B_E;p51_4A;NA;NA;
Q_176;176;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm embajadas conjuntas;NA;NA;NA;P8119A;NA;NA;P8_11_9;P8_11_9_A;NA;NA;v_8_11_9_a;NA;P8_11_9_A;p8_11_9a;P8_11_1_A_I_R, P8_11_1_B_I;NA;NA;NA;
Q_177;177;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm formar un ejército latinoamericano;NA;p51_7a, p51_7b;q59_8, q59b_8;NA;p51_7a,p51_7b;q59_8;NA;NA;p51_7A;q59_8;NA;NA;NA;NA;NA;p51_7A;NA;NA;
Q_178;178;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm operaciones militares conjuntas;NA;NA;NA;P8114A;NA;NA;P8_11_4;P8_11_4_A;NA;NA;v_8_11_4_a;NA;P8_11_4_A;p8_11_4a;P8_11_1_A_D_R, P8_11_1_B_D;NA;NA;NA;
Q_179;179;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm Permitir el libre flujo de bienes y servicios;NA;p51_1a, p51_1b;q59_1, q59b_1;P8111A;p51_1a,p51_1b;q59_1;P8_11_1;P8_11_1_A;p51_1A;q59_1;v_8_11_1_a;NA;P8_11_1_A;p8_11_1a;P8_11_1_A_A_R, P8_11_1_B_A;p51_1A;NA;NA;
Q_180;180;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm permitir el libre movimiento de personas en la región sin controles fronteras;NA;p51_3a, p51_3b;q59_3, q59b_3;P8113A;p51_3a,p51_3b;q59_3;P8_11_3;P8_11_3_A;p51_3A;q59_3;v_8_11_3_a;NA;P8_11_3_A;p8_11_3a;P8_11_1_A_C_R, P8_11_1_B_C;p51_3A;NA;NA;
Q_181;181;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm permitir la libre circulación de inversiones en la región;NA;p51_2a, p51_2b;q59_2, q59b_2;P8112A;p51_2a,p51_2b;q59_2;P8_11_2;P8_11_2_A;p51_2A;q59_2;v_8_11_2_a;NA;P8_11_2_A;p8_11_2a;P8_11_1_A_B_R, P8_11_1_B_B;p51_2A;NA;NA;
Q_182;182;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de LatAm Tener una política exterior común latinoamericana;NA;NA;q59_7, q59b_7;P8118A;NA;q59_7;P8_11_8;P8_11_8_A;NA;q59_7;v_8_11_8_a;NA;P8_11_8_A;p8_11_8a;P8_11_1_A_H_R, P8_11_1_B_H;NA;NA;NA;
Q_183;183;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR construir caminos y puentes que conecten a la región;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_6b;NA;NA;NA;NA;
Q_184;184;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR crear un parlamento o congreso latinoamericano que proponga leyes comunes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_7b;NA;NA;NA;NA;
Q_185;185;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR crear una moneda común;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_5b;NA;NA;NA;NA;
Q_186;186;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR embajadas conjuntas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_9b;NA;NA;NA;NA;
Q_187;187;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR formar un ejército latinoamericano;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_188;188;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR operaciones militares conjuntas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_4b;NA;NA;NA;NA;
Q_189;189;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR Permitir el libre flujo de bienes y servicios;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_1b;NA;NA;NA;NA;
Q_190;190;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR permitir el libre movimiento de personas en la región sin controles fronteras;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_3b;NA;NA;NA;NA;
Q_191;191;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR permitir la libre circulación de inversiones en la región;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_2b;NA;NA;NA;NA;
Q_192;192;¿qué tan de acuerdo o en desacuerdo está usted con las siguientes acciones para favorecer la integracion de MERCOSUR Tener una política exterior común latinoamericana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p8_11_8b;NA;NA;NA;NA;
Q_193;193;¿Qué tan de acuerdo o en desacuerdo está usted con permitir el consumo de marihuana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_194;194;¿Qué tan de acuerdo o en desacuerdo está usted con que [PAIS] incremente su comercio con otros países: muy de acuerdo, algo de acuerdo, algo en desacuerdo o muy en desacuerdo?;NA;NA;NA;NA;NA;NA;P7_8_A;P7_8_A;NA;NA;v_7_8_a, v_7_8_b, v_7_8_c, v_7_8_d;NA;P7_8_A, P7_8_B;p7_8a, p7_8b, p7_8c, p7_8d;P7_8_A, P7_8_B, P7_8_C, P7_8_D;NA;NA;NA;
Q_195;195;¿Qué tan de acuerdo o en desacuerdo está usted con que el Perú promueva un mayor acercamiento entre los países de la Alianza del Pacífico y los países del MERCOSUR: [acuerdo/desacuerdo];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P8_15;NA;NA;NA;
Q_196;196;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… formar organizaciones para defender sus derechos;NA;p21_4A, p21_4B;NA;NA;p21_4a, p21_4b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p21_4A;NA;NA;
Q_197;197;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… obtener un trabajo en igualdad de condiciones que los [nacionales paÍs];NA;p21_5A, p21_5B;q26_3, q26b_3;NA;p21_5a, p21_5b;q26_3;NA;NA;NA;q26_3;NA;NA;NA;NA;NA;p21_5A;NA;NA;
Q_198;198;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… tener acceso a la educación pública;NA;p21_2A, p21_2B;q26_2, q26b_2;NA;p21_2a, p21_2b;q26_2;NA;NA;NA;q26_2;NA;NA;NA;NA;NA;p21_2A;NA;NA;
Q_199;199;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… tener acceso a servicios de salud;NA;p21_3A, p21_3B;NA;NA;p21_3a, p21_3b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p21_3A;NA;NA;
Q_200;200;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… traer a su família com ellos;NA;p21_1A, p21_1B;q26_1, q26b_1;NA;p21_1a, p21_1b;q26_1;NA;NA;NA;q26_1;NA;NA;NA;NA;NA;p21_1A;NA;NA;
Q_201;201;¿qué tan de acuerdo o en desacuerdo está usted con que los extranjeros que viven en [PAIS] puedan… votar en [PAÍS];NA;p21_6A, p21_6B;q26_4, q26b_4;NA;p21_6a, p21_6b;q26_4;NA;NA;NA;q26_4;NA;NA;NA;NA;NA;p21_6A;NA;NA;
Q_202;202;¿Qué tan de acuerdo o en desacuerdo está usted con que los militares participen en la lucha contra el narcotrafico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;parg3;NA;NA;NA;NA;
Q_203;203;¿Qué tan de acuerdo o en desacuerdo estaría usted con que [PAÍS] autorice la entrada de estranjeros altamente calificados para vivir trabajar aqui;NA;NA;q15;P412A;NA;q15a;P4_12_A;P4_12_A;NA;q15;NA;NA;P4_12_A;p4_12a;P4_12_A;NA;T_165_1;NA;
Q_204;204;¿Qué tan de acuerdo o en desacuerdo estaría usted con que [PAÍS] autorice la entrada estranjeros POCO calificados para vivir trabajar aqui;NA;NA;q15b;P412B;NA;q15b;P4_12_B;P4_12_B;NA;NA;v_4_12_b;NA;P4_12_B;p4_12b;P4_12_B;NA;T_165_2;NA;
Q_205;205;¿Qué tan de acuerdo o en desacuerdo estaría usted con una soberanía compartida de las Islas Malvinas con Reino Unido?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;parg2;NA;NA;NA;NA;
Q_206;206;¿qué tan de acuerdo… con que los criminales que se esconden en [PAÍS] o en outro pais para evadir justicia sean trasladados al pais donde cometieron el delito;p9_906_11;p41;NA;NA;p41;NA;NA;NA;NA;NA;NA;p39;NA;NA;NA;p41;Q_112;p39;
Q_207;207;¿Qué tan importante es para [PAIS] invertir más recursos en Abrir nuevas embajadas y consulados en otros paises;NA;NA;NA;P631;NA;NA;P6_3_1;NA;NA;NA;v_6_3_1;NA;P6_3_1;p6_3_1;P6_3_1_A;NA;T_167_1;NA;
Q_208;208;¿Qué tan importante es para [PAIS] invertir más recursos en Aumentar la participacion del [PAIS] en organismos internacionales como la ONU;NA;NA;NA;P634;NA;NA;P6_3_4;NA;NA;NA;v_6_3_4;NA;P6_3_4;p6_3_4;P6_3_1_D;NA;T_167_4;NA;
Q_209;209;¿Qué tan importante es para [PAIS] invertir más recursos en Dar dinero a otros paises para su desarrollo;NA;NA;NA;P633;NA;NA;P6_3_3;NA;NA;NA;v_6_3_3;NA;P6_3_3;p6_3_3;P6_3_1_C;NA;T_167_3;NA;
Q_210;210;¿Qué tan importante es para [PAIS] invertir más recursos en Dar refugio a extranjeros que esten en peligro en su pais;NA;NA;NA;P635;NA;NA;P6_3_5;NA;NA;NA;v_6_3_5;NA;P6_3_5;p6_3_5;P6_3_1_E;NA;T_167_5;NA;
Q_211;211;¿Qué tan importante es para [PAIS] invertir más recursos en Ofrecer becas a estudiantes de otros paises para que vengan estudiar en [PAIS];NA;NA;NA;P632;NA;NA;P6_3_2;NA;NA;NA;v_6_3_2;NA;P6_3_2;p6_3_2;P6_3_1_B;NA;T_167_2;NA;
Q_212;212;¿qué tan importante es trabajar en la zona de la frontera con perú en los siguientes aspectos?... Aumentar la presencia de las instituiciones del Estado;NA;NA;NA;NA;ec_27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
